inches,battery,ram(GB),announcement_date,weight(g),storage(GB),price(USD),brand_encoded,os_encoded,battery_type_encoded,video_720p_encoded,video_1080p_encoded,video_4K_encoded,video_8K_encoded,video_30fps_encoded,video_60fps_encoded,video_120fps_encoded,video_240fps_encoded,video_480fps_encoded,video_960fps_encoded,resolution_encoded
5.2,3000,3,2017-09-01,137.0,16,480.0,7,14,0,0,1,0,0,1,0,0,0,0,0,71
5.99,3400,8,2017-09-01,185.0,64,410.0,12,14,0,1,1,1,0,1,0,1,0,0,0,1
5.5,3500,6,2017-09-01,163.0,64,280.0,12,14,0,1,1,1,0,1,0,1,0,0,0,0
5.2,4000,3,2017-09-01,165.0,32,200.0,5,15,1,0,1,0,0,1,0,0,0,0,0,71
5.5,3000,4,2017-09-01,180.0,32,550.0,9,14,0,0,1,0,0,1,0,0,0,0,0,0
5.2,4000,4,2017-09-01,165.0,32,180.0,5,15,1,0,1,0,0,1,0,0,0,0,0,0
4.7,1821,2,2017-09-12,148.0,64,210.0,0,26,0,1,1,1,0,1,1,1,1,0,0,82
5.8,2716,3,2017-09-12,174.0,64,280.0,0,27,0,1,1,1,0,1,1,1,1,0,0,21
6.01,3200,4,2017-10-01,153.0,64,260.0,7,15,1,1,1,1,0,1,0,0,0,0,0,1
6.0,3200,6,2017-10-01,152.0,32,150.0,7,15,0,0,1,0,0,1,0,0,0,0,0,1
5.2,2620,3,2017-10-01,154.0,16,168.0,10,14,0,0,1,0,0,1,0,0,0,0,0,71
6.0,4000,6,2017-10-01,178.0,64,150.0,3,17,1,1,1,1,0,1,1,0,0,0,0,1
5.9,4000,4,2017-10-01,186.0,64,180.0,3,17,1,1,1,1,0,1,1,0,0,0,0,43
4.7,2000,1,2017-10-01,130.0,8,500.0,9,12,0,1,0,0,0,1,0,0,0,0,0,70
5.9,3340,4,2017-10-01,164.0,64,300.0,3,12,0,0,1,0,0,1,0,0,0,0,0,1
6.0,4000,6,2017-10-01,178.0,256,190.0,3,17,1,1,1,1,0,1,1,0,0,0,0,1
5.0,2700,4,2017-10-04,143.0,64,610.0,1,17,0,1,1,1,0,1,1,1,1,0,0,0
6.0,3520,4,2017-10-04,175.0,64,520.0,1,17,0,1,1,1,0,1,1,1,1,0,0,44
5.5,3080,4,2017-11-01,153.0,32,140.0,12,16,0,0,1,0,0,1,0,0,0,0,0,71
6.0,3200,4,2017-11-01,152.0,32,400.0,7,14,0,0,1,0,0,1,0,0,0,0,0,1
6.43,4000,6,2017-11-01,182.0,64,310.0,7,15,1,1,1,1,0,1,0,0,0,0,0,1
5.5,3080,2,2017-11-01,150.0,16,90.0,12,12,0,0,1,0,0,1,0,0,0,0,0,71
10.1,7000,2,2017-11-01,500.0,32,170.0,5,12,0,0,1,0,0,1,0,0,0,0,0,25
5.0,3000,3,2017-11-01,137.0,16,100.0,12,16,0,0,1,0,0,1,0,0,0,0,0,71
6.0,3340,6,2017-12-01,169.0,64,230.0,3,17,1,1,1,1,0,1,0,0,0,0,0,1
5.7,3300,4,2017-12-01,157.0,16,160.0,12,16,1,0,1,0,0,1,0,0,0,0,0,72
5.7,3000,3,2017-12-01,153.0,16,200.0,5,12,0,0,1,0,0,1,0,0,0,0,0,72
5.65,3000,4,2017-12-01,143.0,32,450.0,3,17,1,0,1,0,0,1,0,0,0,0,0,1
5.6,3000,4,2017-12-01,172.0,32,230.0,9,15,0,0,1,0,0,1,0,0,0,0,0,2
6.0,3500,6,2017-12-01,191.0,32,120.0,9,15,0,0,1,0,0,1,0,0,0,0,0,2
5.65,3000,4,2017-12-01,149.0,32,190.0,2,17,1,0,1,0,0,1,0,0,0,0,0,1
6.0,3580,4,2018-01-01,221.0,32,260.0,10,17,0,1,1,1,0,1,0,0,0,0,0,0
5.7,3180,4,2018-01-01,143.0,16,500.0,7,14,0,0,1,0,0,1,0,0,0,0,0,72
5.2,3300,3,2018-01-01,171.0,32,200.0,10,17,0,1,1,1,0,1,0,0,0,0,0,0
5.0,2410,2,2018-01-01,139.0,16,200.0,4,16,0,0,1,0,0,1,0,0,0,0,0,71
5.3,3000,2,2018-01-01,172.0,32,500.0,4,12,0,0,1,0,0,1,0,0,0,0,0,71
5.0,2600,2,2018-01-01,153.0,16,250.0,9,14,0,0,1,0,0,1,0,0,0,0,0,70
5.5,3300,3,2018-01-01,178.0,32,140.0,10,15,0,0,1,0,0,1,0,0,0,0,0,71
5.0,2870,4,2018-02-01,168.0,64,430.0,10,17,0,1,1,1,0,1,1,0,0,0,1,1
6.0,3300,6,2018-02-01,158.0,128,100.0,4,17,1,1,1,1,0,1,1,1,0,0,0,44
5.3,3000,3,2018-02-01,162.0,16,140.0,4,16,0,0,1,0,0,1,0,0,0,0,0,71
5.99,4000,4,2018-02-01,180.0,32,180.0,12,16,1,1,1,1,0,1,1,0,0,0,0,1
5.2,3000,3,2018-02-01,137.0,16,280.0,7,14,0,0,1,0,0,1,0,0,0,0,0,71
5.0,2500,2,2018-02-01,152.0,16,70.0,4,16,0,1,1,0,0,1,0,0,0,0,0,71
5.99,4000,6,2018-02-14,181.0,64,180.0,12,16,1,0,1,0,0,1,0,0,0,0,0,1
5.8,3000,4,2018-02-25,163.0,64,300.0,9,17,0,1,1,1,0,1,1,1,1,0,1,45
6.2,3500,6,2018-02-25,189.0,64,120.0,9,17,0,1,1,1,0,1,1,1,1,0,1,45
5.7,3180,6,2018-02-26,198.0,64,360.0,10,17,0,1,1,1,0,1,1,0,0,0,1,1
5.99,3400,8,2018-03-01,191.0,64,270.0,12,17,0,1,1,1,0,1,1,1,1,0,0,1
5.99,4000,6,2018-03-01,181.0,32,180.0,12,17,1,0,1,0,0,1,0,0,0,0,0,1
5.7,3180,4,2018-03-01,143.0,32,180.0,7,15,0,0,1,0,0,1,0,0,0,0,0,72
6.28,3450,8,2018-03-01,175.0,128,450.0,7,19,1,1,1,1,0,1,0,0,0,0,0,7
6.28,3430,6,2018-03-01,180.0,128,320.0,7,19,1,1,1,1,0,1,1,1,1,0,0,7
5.5,3300,3,2018-03-01,170.0,32,370.0,9,12,0,0,1,0,0,1,0,0,0,0,0,0
5.93,4000,4,2018-03-01,170.0,32,600.0,3,17,0,0,1,0,0,1,0,0,0,0,0,1
5.7,3000,3,2018-03-01,155.0,16,150.0,5,17,0,0,1,0,0,1,0,0,0,0,0,72
5.7,3000,3,2018-03-01,160.0,32,150.0,5,14,0,1,0,0,0,1,0,0,0,0,0,72
5.99,3000,2,2018-03-01,155.0,16,200.0,3,17,0,0,1,0,0,1,0,0,0,0,0,72
5.7,3000,4,2018-03-01,155.0,32,230.0,5,17,1,1,1,1,0,1,0,0,0,0,0,1
5.99,3000,4,2018-03-01,155.0,32,170.0,3,17,0,0,1,0,0,1,0,0,0,0,0,72
5.0,2500,2,2018-03-01,140.0,16,180.0,4,16,0,0,1,0,0,1,0,0,0,0,0,71
6.23,3400,6,2018-03-01,158.0,64,580.0,7,19,0,0,1,0,0,1,0,0,0,0,0,7
5.99,3000,3,2018-03-01,155.0,32,220.0,3,17,0,0,1,0,0,1,0,0,0,0,0,72
6.0,4000,6,2018-03-01,183.0,256,240.0,3,19,1,1,1,1,0,1,1,0,0,0,1,44
5.84,3000,4,2018-03-20,145.0,32,150.0,3,17,1,0,1,0,0,1,0,0,0,0,0,7
6.1,4000,8,2018-03-27,180.0,64,150.0,3,19,1,1,1,1,0,1,1,0,0,0,1,3
5.8,3400,6,2018-03-27,165.0,64,170.0,3,19,1,1,1,1,0,1,1,0,0,0,1,3
5.7,3000,3,2018-04-01,150.0,16,330.0,3,17,0,0,1,0,0,1,0,0,0,0,0,72
5.7,3000,3,2018-04-01,150.0,16,410.0,3,17,0,0,1,0,0,1,0,0,0,0,0,72
5.8,3540,6,2018-04-01,236.0,64,460.0,10,17,0,1,1,1,0,1,1,0,0,0,1,66
5.5,3000,4,2018-04-01,174.0,32,420.0,9,17,0,0,1,0,0,1,0,0,0,0,0,71
5.7,3000,3,2018-04-01,150.0,16,120.0,2,17,1,0,1,0,0,1,0,0,0,0,0,72
6.2,3400,4,2018-04-01,159.0,128,280.0,7,19,0,0,1,0,0,1,0,0,0,0,0,7
5.99,4000,8,2018-04-01,190.0,64,400.0,12,17,0,1,1,1,0,1,0,1,0,0,0,1
6.0,3410,6,2018-05-01,155.0,32,130.0,8,19,0,0,1,0,0,1,0,0,0,0,0,1
5.84,3400,8,2018-05-01,153.0,64,310.0,2,19,1,1,1,1,0,1,1,0,0,0,0,7
